nom_normalise;uuid;nom_exact;niveau;parent;membres;type_groupe
"sous-groupe 1";00126bcc-d34d-49c2-b3b8-03ba818bd433;"SOUS-GROUPE 1";"SOUS_GROUPE";"VICTOIRE ETERNELLE";1;meme-niveau
"sous-groupe 1";00370fd6-4d9c-46b0-9c16-27e8913201b9;"SOUS-GROUPE 1";"SOUS_GROUPE";"ICHINEN";10;meme-niveau
"sous-groupe 1";00760f75-0f83-45dc-b2fc-0663acc4d2e2;"SOUS-GROUPE 1";"SOUS_GROUPE";"KANSAÏ";1;meme-niveau
"sous-groupe 1";00a7d2f1-f44d-4811-8604-99e87d7a68a7;"SOUS-GROUPE 1";"SOUS_GROUPE";"LOTUS";4;meme-niveau
"sous-groupe 1";00f21183-8a6c-4df6-b0e8-c841055ce150;"SOUS-GROUPE 1";"SOUS_GROUPE";"ITAI DOSHIN";11;meme-niveau
"sous-groupe 1";01ec7d11-1136-4f6a-ad9e-13883902b90b;"SOUS-GROUPE 1";"SOUS_GROUPE";"ESPERANCE DE KRAMASS";3;meme-niveau
"sous-groupe 1";01eed3b6-ec8f-4aea-96c7-3f3ffbfba670;"SOUS-GROUPE 1";"SOUS_GROUPE";"KIPOMENEWELE";5;meme-niveau
"sous-groupe 1";0243fc3d-03a4-460a-a75f-1c969983aa34;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOLEIL LEVANT";17;meme-niveau
"sous-groupe 1";02492e66-1a5c-46ef-9b6f-611978f91946;"SOUS-GROUPE 1";"SOUS_GROUPE";"SHITE FOUNI DE BOUNA";4;meme-niveau
"sous-groupe 1";024c65fd-6fad-47ee-8207-a8c06c46203d;"SOUS-GROUPE 1";"SOUS_GROUPE";"RESIDENTIEL";3;meme-niveau
"sous-groupe 1";029a2433-33fb-4e5f-958c-e8e56ac25f51;"SOUS-GROUPE 1";"SOUS_GROUPE";"DYNAMIQUE";2;meme-niveau
"sous-groupe 1";02c6ed49-3ae1-47de-b0dd-6ed87841e50d;"SOUS-GROUPE 1";"SOUS_GROUPE";"KANJIN";6;meme-niveau
"sous-groupe 1";02e4e6cc-3d64-42a3-b192-7da629d9e25d;"SOUS-GROUPE 1";"SOUS_GROUPE";"SHOTEN ZENJIN";9;meme-niveau
"sous-groupe 1";02fb2b29-b0fe-4928-b92e-f4d0030100f0;"SOUS-GROUPE 1";"SOUS_GROUPE";"KOSEN RUFU";3;meme-niveau
"sous-groupe 1";02fceea3-24c6-405f-a2cd-868bb4c78847;"SOUS-GROUPE 1";"SOUS_GROUPE";"FUKYO";2;meme-niveau
"sous-groupe 1";031ef469-906e-4237-bfd6-c9bd8124a8ba;"SOUS-GROUPE 1";"SOUS_GROUPE";"TERRE DE VICTOIRE";9;meme-niveau
"sous-groupe 1";03799a14-f16b-45e5-b62b-1a7c94aaf577;"SOUS-GROUPE 1";"SOUS_GROUPE";"GRAND VŒUX";9;meme-niveau
"sous-groupe 1";0397d2fe-cd75-48f7-8378-f716672b38dc;"SOUS-GROUPE 1";"SOUS_GROUPE";"LA TOUR AU TRESOR";4;meme-niveau
"sous-groupe 1";03aef4c4-e6b2-4c03-a362-13ecd776ca7b;"SOUS-GROUPE 1";"SOUS_GROUPE";"CHÂTEAU DE LA VIE";6;meme-niveau
"sous-groupe 1";03dbf5e0-7777-49a8-82c6-847723ae13ae;"SOUS-GROUPE 1";"SOUS_GROUPE";"ST CYRILLE";8;meme-niveau
"sous-groupe 1";03fe96fa-772d-41b1-8aa1-60ea628cd8cf;"SOUS-GROUPE 1";"SOUS_GROUPE";"MILLIONNAIRE";9;meme-niveau
"sous-groupe 1";04138a97-39fd-422a-8f58-9344e82c42ee;"SOUS-GROUPE 1";"SOUS_GROUPE";"SIENTINFLA";5;meme-niveau
"sous-groupe 1";041f1c0f-ae6a-47fd-b560-b5bb376e054c;"SOUS-GROUPE 1";"SOUS_GROUPE";"AURORE";4;meme-niveau
"sous-groupe 1";049191bd-88e2-4c4c-a757-7e015942ad7a;"SOUS-GROUPE 1";"SOUS_GROUPE";"LOTUS 2";6;meme-niveau
"sous-groupe 1";0498a008-7713-4e94-ad4c-111b71c688e2;"SOUS-GROUPE 1";"SOUS_GROUPE";"CERISIERS";7;meme-niveau
"sous-groupe 1";04c8a486-b257-4c41-b617-da0ba3f19608;"SOUS-GROUPE 1";"SOUS_GROUPE";"TRIOMPHE";2;meme-niveau
"sous-groupe 1";04d04a55-9d30-4114-b0b8-9ed137c7a517;"SOUS-GROUPE 1";"SOUS_GROUPE";"INCHALLAH 2";3;meme-niveau
"sous-groupe 1";04d308c9-f891-4ccf-b74b-1adcd7ed3c71;"SOUS-GROUPE 1";"SOUS_GROUPE";"CHÂTEAU DU BONHEUR";3;meme-niveau
"sous-groupe 1";04fd9ffe-e660-438a-b474-154efc3867f9;"SOUS-GROUPE 1";"SOUS_GROUPE";"ITAÏ DOSHIN";0;meme-niveau
"sous-groupe 1";053705fc-0578-45e8-b010-dd14590b6173;"SOUS-GROUPE 1";"SOUS_GROUPE";"IKEGAMI";2;meme-niveau
"sous-groupe 1";053d6b48-0921-40aa-96fb-e564fd94e7aa;"SOUS-GROUPE 1";"SOUS_GROUPE";"SAGESSE";4;meme-niveau
"sous-groupe 1";054c132d-03ba-49c0-81fd-d26be532b9a4;"SOUS-GROUPE 1";"SOUS_GROUPE";"PIONNIERS";10;meme-niveau
"sous-groupe 1";05a42bf7-2f9f-4246-b9b2-9d83a5d765fc;"SOUS-GROUPE 1";"SOUS_GROUPE";"FUKYO";0;meme-niveau
"sous-groupe 1";05ea566a-f478-4178-9442-c87ec1a4fe7c;"SOUS-GROUPE 1";"SOUS_GROUPE";"ADDOHA";3;meme-niveau
"sous-groupe 1";063633ef-cfa9-4b0a-8a4e-2f089cf8ff65;"SOUS-GROUPE 1";"SOUS_GROUPE";"TRESOR DU CŒUR";1;meme-niveau
"sous-groupe 1";0664796c-b66e-4e34-84be-62343872a3f2;"SOUS-GROUPE 1";"SOUS_GROUPE";"REVOLUTION";9;meme-niveau
"sous-groupe 1";06a4d031-01bc-4488-9553-1a99d79ac65e;"SOUS-GROUPE 1";"SOUS_GROUPE";"VOIE DU BONHEUR";4;meme-niveau
"sous-groupe 1";0744daee-7035-4459-810f-85931f5966ec;"SOUS-GROUPE 1";"SOUS_GROUPE";"MYOHO";9;meme-niveau
"sous-groupe 1";075245f9-90a0-4815-a8c3-a4d4d6b5f15e;"SOUS-GROUPE 1";"SOUS_GROUPE";"KANSAI";4;meme-niveau
"sous-groupe 1";077412ee-8a50-4f78-9cbd-9c0dbc33b527;"SOUS-GROUPE 1";"SOUS_GROUPE";"DINOSAURE";1;meme-niveau
"sous-groupe 1";080fdc8a-8907-40db-a9e5-a023f0d18513;"SOUS-GROUPE 1";"SOUS_GROUPE";"INCHALLAH 1";5;meme-niveau
"sous-groupe 1";0852ae7f-b6a7-4557-975d-73d2098cc66f;"SOUS-GROUPE 1";"SOUS_GROUPE";"Groupe 2";2;meme-niveau
"sous-groupe 1";085a1c57-3501-41ea-8ecf-983cace62db7;"SOUS-GROUPE 1";"SOUS_GROUPE";"KUDOKU";11;meme-niveau
"sous-groupe 1";08d92fd8-a49c-46c2-bbf2-e83b9016add9;"SOUS-GROUPE 1";"SOUS_GROUPE";"TODA";4;meme-niveau
"sous-groupe 1";091abd12-d09f-41a9-88b3-c5030b8e9586;"SOUS-GROUPE 1";"SOUS_GROUPE";"NOUVEAU DEPART";4;meme-niveau
"sous-groupe 1";09359c20-b067-4ec1-9e5a-20d1a04b6868;"SOUS-GROUPE 1";"SOUS_GROUPE";"BENENE";2;meme-niveau
"sous-groupe 1";09d95d27-10e4-4315-adf1-b33800e5365b;"SOUS-GROUPE 1";"SOUS_GROUPE";"SUTRA DU LOTUS";2;meme-niveau
"sous-groupe 1";0a08b390-b695-4f2f-b16d-b36b284ddd70;"SOUS-GROUPE 1";"SOUS_GROUPE";"OZI";7;meme-niveau
"sous-groupe 1";0a8d92de-4192-4d26-840b-e61d237fb149;"SOUS-GROUPE 1";"SOUS_GROUPE";"RÉVÉRÉ";5;meme-niveau
"sous-groupe 1";0b0655e6-50fd-4780-89b2-13267feaee35;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOLIEIL 1  DJIMPOUMINDOUO";6;meme-niveau
"sous-groupe 1";0b22f0b1-d25f-4b7e-be0e-6289740d9b54;"SOUS-GROUPE 1";"SOUS_GROUPE";"DYNAMIQUE";5;meme-niveau
"sous-groupe 1";0b2b6d7e-5de6-438f-97e5-f16e9aaebd6d;"SOUS-GROUPE 1";"SOUS_GROUPE";"BOLI";1;meme-niveau
"sous-groupe 1";0c1c044e-f6b7-42a3-98d9-53d525e6cae2;"SOUS-GROUPE 1";"SOUS_GROUPE";"MON DESIRE";10;meme-niveau
"sous-groupe 1";0c4ede58-5ad8-4a50-9e04-93252dd3237b;"SOUS-GROUPE 1";"SOUS_GROUPE";"COMPAGNPNS DE LA CROYANCE";6;meme-niveau
"sous-groupe 1";0c53a4e4-6289-4646-88fb-557ea4dec203;"SOUS-GROUPE 1";"SOUS_GROUPE";"ICHINEN";3;meme-niveau
"sous-groupe 1";0c62b0a5-d6e4-4db4-bdad-66a2e6e37bd8;"SOUS-GROUPE 1";"SOUS_GROUPE";"PROGRES ECLATANT";5;meme-niveau
"sous-groupe 1";0ca054dc-96f7-400c-96c1-3497d7bc91bb;"SOUS-GROUPE 1";"SOUS_GROUPE";"ECLAT D'OR";3;meme-niveau
"sous-groupe 1";0ce0add0-7be9-41a7-ad89-61c2b2d0906a;"SOUS-GROUPE 1";"SOUS_GROUPE";"N'ZRAMA";6;meme-niveau
"sous-groupe 1";0d1a5df5-7bc3-45d0-be5f-adc40e57430c;"SOUS-GROUPE 1";"SOUS_GROUPE";"TERRE D'ESPOIR";2;meme-niveau
"sous-groupe 1";0db68a37-da03-4d92-814d-e43cbfd56d32;"SOUS-GROUPE 1";"SOUS_GROUPE";"FUKYO";8;meme-niveau
"sous-groupe 1";0e011be6-e37a-4c88-8c59-b0ee69a95a9d;"SOUS-GROUPE 1";"SOUS_GROUPE";"FUKYO";5;meme-niveau
"sous-groupe 1";0e2680bb-b8ba-49fe-af93-1018f3d834a5;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOLEIL";6;meme-niveau
"sous-groupe 1";0e76f6ea-2ffb-4d83-aead-682c766a8699;"SOUS-GROUPE 1";"SOUS_GROUPE";"LOTUS BLANC";8;meme-niveau
"sous-groupe 1";0e8d3b68-6940-45ab-8228-deb1177583da;"SOUS-GROUPE 1";"SOUS_GROUPE";"ICHINEN";2;meme-niveau
"sous-groupe 1";0eb31f36-7f0b-4b50-a14b-ede025b32a23;"SOUS-GROUPE 1";"SOUS_GROUPE";"PERSEVERANCE";8;meme-niveau
"sous-groupe 1";0eb81061-b4c1-4088-845e-e85f950f574c;"SOUS-GROUPE 1";"SOUS_GROUPE";"DERNIERS JOURS DE LA LOI";5;meme-niveau
"sous-groupe 1";0f208f91-8954-4849-b562-5dfb5768ef68;"SOUS-GROUPE 1";"SOUS_GROUPE";"DETERMINATION";6;meme-niveau
"sous-groupe 1";0f34a69a-b74a-40f6-ab48-91f3100a9607;"SOUS-GROUPE 1";"SOUS_GROUPE";"CITADELLE DE SAGESSE";4;meme-niveau
"sous-groupe 1";0fa3106a-6ad8-4001-8be8-55cecef4c49a;"SOUS-GROUPE 1";"SOUS_GROUPE";"REVOLUTION HUMAINE";5;meme-niveau
"sous-groupe 1";0ff45a33-ae49-48b6-b2a7-a1091ab4aafe;"SOUS-GROUPE 1";"SOUS_GROUPE";"COURAGE";4;meme-niveau
"sous-groupe 1";1021b186-6132-47a6-8cb7-ce4bdde8fa89;"SOUS-GROUPE 1";"SOUS_GROUPE";"REVOLUTION";15;meme-niveau
"sous-groupe 1";102dc9ef-4954-4d8a-8124-1f7c34678b7a;"SOUS-GROUPE 1";"SOUS_GROUPE";"ICHINEN";5;meme-niveau
"sous-groupe 1";103471fc-9637-47d5-a1c7-260d15cbd96c;"SOUS-GROUPE 1";"SOUS_GROUPE";"ITAI DOSHIN";2;meme-niveau
"sous-groupe 1";10559b7b-941e-456d-b4c8-fe8942d3e576;"SOUS-GROUPE 1";"SOUS_GROUPE";"PACOBO";2;meme-niveau
"sous-groupe 1";1076a367-ce4a-4c95-8400-7bcc474bf045;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOLEIL LEVANT";4;meme-niveau
"sous-groupe 1";108699eb-2597-4d05-8607-1ee1f7314bb3;"SOUS-GROUPE 1";"SOUS_GROUPE";"KUDOKU";3;meme-niveau
"sous-groupe 1";108abc05-4049-42b5-96a4-55551d4b2b8b;"SOUS-GROUPE 1";"SOUS_GROUPE";"DIALOGUE";5;meme-niveau
"sous-groupe 1";10c90b22-5237-485c-b735-f0e22acc8872;"SOUS-GROUPE 1";"SOUS_GROUPE";"AGBODREO";5;meme-niveau
"sous-groupe 1";10d17ea5-a9fc-4806-84b5-38886bab3d1c;"SOUS-GROUPE 1";"SOUS_GROUPE";"LUMIERE DU MONDE";15;meme-niveau
"sous-groupe 1";10fb5dc7-8c48-41e7-885a-4a7f7f429a40;"SOUS-GROUPE 1";"SOUS_GROUPE";"Saint moise";3;meme-niveau
"sous-groupe 1";11512f4f-4e71-4d1c-abfe-5a6769b5738f;"SOUS-GROUPE 1";"SOUS_GROUPE";"BISHAMON";11;meme-niveau
"sous-groupe 1";11939e6f-bf4c-46a5-8d0d-7472eccdf175;"SOUS-GROUPE 1";"SOUS_GROUPE";"VICTOIRE ECLATANTE";5;meme-niveau
"sous-groupe 1";11a87016-0972-4a5a-9767-6cda147ebbd6;"SOUS-GROUPE 1";"SOUS_GROUPE";"JINZAI 2";4;meme-niveau
"sous-groupe 1";11ab7d24-b67e-4cfd-9c7b-4d34708479d2;"SOUS-GROUPE 1";"SOUS_GROUPE";"SÊYÊYÊ";6;meme-niveau
"sous-groupe 1";11b101fa-4ace-462c-ae45-b6b9840ee4e6;"SOUS-GROUPE 1";"SOUS_GROUPE";"LA VOIE D'OR";0;meme-niveau
"sous-groupe 1";11ce1b22-99d8-47f9-84df-87dcc4809ea5;"SOUS-GROUPE 1";"SOUS_GROUPE";"VICTOIRE";2;meme-niveau
"sous-groupe 1";11d185fe-d007-44d8-9922-3687a4ea5d78;"SOUS-GROUPE 1";"SOUS_GROUPE";"SINCERITE";4;meme-niveau
"sous-groupe 1";11f8ce5d-97f5-4ce6-9ff2-cc055915fc2b;"SOUS-GROUPE 1";"SOUS_GROUPE";"CARREFOUR BOLIGO";3;meme-niveau
"sous-groupe 1";124221d8-7bd0-461d-9f88-f97ae1ff9269;"SOUS-GROUPE 1";"SOUS_GROUPE";"SOGEFIHA";2;meme-niveau
"sous-groupe 1";1249b00f-113d-49f9-b5de-dec685242e2c;"SOUS-GROUPE 1";"SOUS_GROUPE";"ESHO FUNI";2;meme-niveau
"sous-groupe 1";1250985b-eefe-4d7d-a0d4-ea447a1071b5;"SOUS-GROUPE 1";"SOUS_GROUPE";"NICHIREN";5;meme-niveau
"sous-groupe 1";126932fc-756b-4d28-98b5-19e8b91722d4;"SOUS-GROUPE 1";"SOUS_GROUPE";"JINZAI 3";3;meme-niveau
"sous-groupe 1";135eac45-69f7-4220-8a0f-337c7e1543c8;"SOUS-GROUPE 1";"SOUS_GROUPE";"FLEUR DE LOTUS";5;meme-niveau
"sous-groupe 1";138f9d88-3da5-46d3-8a9f-03254e2a0e3c;"SOUS-GROUPE 1";"SOUS_GROUPE";"WIA";8;meme-niveau
"sous-groupe 1";13e2d9ee-7713-4dbc-86b3-0ac42ea17677;"SOUS-GROUPE 1";"SOUS_GROUPE";"Hotel le granite";3;meme-niveau
"sous-groupe 1";140613da-0d36-4361-8988-5774d8a9b935;"SOUS-GROUPE 1";"SOUS_GROUPE";"WONDO";4;meme-niveau
"sous-groupe 1";14175912-e42f-407c-9fed-35e01f7b47c8;"SOUS-GROUPE 1";"SOUS_GROUPE";"JIGYO KETA";7;meme-niveau
"sous-groupe 1";14c8f7df-2f6a-42bb-9452-43898f88dcfa;"SOUS-GROUPE 1";"SOUS_GROUPE";"DOKAN";5;meme-niveau
"sous-groupe 1";1514e4c2-e8ed-4d1f-ba1b-5cd62a4eece3;"SOUS-GROUPE 1";"SOUS_GROUPE";"PROMOGIM";3;meme-niveau
"sous-groupe 1";1554baf3-a1f1-47cd-bb30-f57488095bd7;"SOUS-GROUPE 1";"SOUS_GROUPE";"KYO";8;meme-niveau
"sous-groupe 1";155a112c-e87e-4300-96c1-2624364e1546;"SOUS-GROUPE 1";"SOUS_GROUPE";"SINCÉRITÉ";3;meme-niveau
"sous-groupe 1";15bebdfc-8bb9-4349-b915-920ba809555c;"SOUS-GROUPE 1";"SOUS_GROUPE";"PÉ";5;meme-niveau
"sous-groupe 1";165b9afa-069b-4353-bcc1-3c9d01317140;"SOUS-GROUPE 1";"SOUS_GROUPE";"FUJI";2;meme-niveau
"sous-groupe 1";16acfaa0-4931-4e03-9b3f-0359cbc6be5f;"SOUS-GROUPE 1";"SOUS_GROUPE";"Groupe 2";3;meme-niveau
"sous-groupe 1";16c676d2-5712-48fa-a4f0-203fe0abc2a3;"SOUS-GROUPE 1";"SOUS_GROUPE";"SHIN-JIN";11;meme-niveau
"sous-groupe 1";177fe2b2-15e4-49a0-ae99-285baa41321c;"SOUS-GROUPE 1";"SOUS_GROUPE";"HARMONIE";5;meme-niveau
"sous-groupe 1";17908b38-9f8c-4385-8d68-360cfa416fd8;"SOUS-GROUPE 1";"SOUS_GROUPE";"KOUAKIVA";3;meme-niveau
"sous-groupe 1";17a87504-beee-4278-85ad-77fa75da652f;"SOUS-GROUPE 1";"SOUS_GROUPE";"SEKYO";3;meme-niveau
"sous-groupe 1";17b3659d-657b-4511-a488-e9259f320174;"SOUS-GROUPE 1";"SOUS_GROUPE";"LOTUS";6;meme-niveau
"sous-groupe 1";186c4db7-ae7f-4966-a523-d01fb38491ef;"SOUS-GROUPE 1";"SOUS_GROUPE";"KLOPLOU";2;meme-niveau
"sous-groupe 1";1883a18b-a47e-45ff-a274-20c8d809a24d;"SOUS-GROUPE 1";"SOUS_GROUPE";"PROVIDENCE";9;meme-niveau
"sous-groupe 1";18898a5d-40e5-4d9c-b576-2580551d5c98;"SOUS-GROUPE 1";"SOUS_GROUPE";"ZIOGOUALE";6;meme-niveau
"sous-groupe 1";1893c7ce-dd70-4113-9c81-6a57bcab0abe;"SOUS-GROUPE 1";"SOUS_GROUPE";"BONNE FORTUNE";8;meme-niveau
"sous-groupe 1";18ae33da-be29-44f2-9b27-79615e1bd0d6;"SOUS-GROUPE 1";"SOUS_GROUPE";"YROZON";0;meme-niveau
"sous-groupe 1";18b999ea-940d-42a1-9dbd-93bb23274c64;"SOUS-GROUPE 1";"SOUS_GROUPE";"AKOUEDO VILLAGE 5";2;meme-niveau
