ville;city_uuid;membres_non_desservis;type
"Abidjan";b6d85b66-10e6-4fd1-a714-c251e2177e2c;2729;ville_sans_zone
"San-Pédro";bb01b924-de3b-48f1-a06c-e938c11e0869;248;ville_sans_zone
"Gagnoa";47f5995b-abd6-4368-b63c-9e20fbdc0847;222;ville_sans_zone
"Bingerville";1c6b7f01-ede1-43af-a094-864e87b715e9;186;ville_sans_zone
"BOUAKE";e33ebd55-d276-4c68-83db-9be2af5c89d9;160;ville_sans_zone
"Daloa";ffd55c06-f74d-4d76-9d05-b1ba556c8d71;150;ville_sans_zone
"Oumé";43a7bc3b-a90f-44e1-bf93-f671f262726d;118;ville_sans_zone
"Yamoussoukro";16f673d6-9e95-45d3-834c-5a3173c3c12a;98;ville_sans_zone
"KORHOGO";6b3af242-17cb-452a-89a7-90ea196c97c0;96;ville_sans_zone
"Abobo";1c0ae9cd-3335-4c1c-b9bf-5539263365f9;92;ville_sans_zone
"Man";4f5ec55c-06f5-4b58-8def-cba5280c3787;84;ville_sans_zone
"Soubré";8ff83663-1581-4e0d-8499-318b663fc3b7;75;ville_sans_zone
"GALEBRE";cb691014-b7b2-4165-851e-70baef4773e8;73;ville_sans_zone
"Sinfra";2ec3676a-574c-4bb8-a348-694ff28c7c83;70;ville_sans_zone
"Bouaflé";087e82dd-d10d-434b-a2ca-9b6562338096;69;ville_sans_zone
"TOUMODI";ff0a5303-3a33-44fa-8852-08595d0058f0;59;ville_sans_zone
"Grand-Béréby";46a9e507-1c00-4c48-9445-4d07f8e052a0;58;ville_sans_zone
"Abengourou";607534dc-99fc-4dbd-b426-f2387bfdea93;54;ville_sans_zone
"Gbonné";791121df-3c4f-40b8-9b8e-28c327c4e463;49;ville_sans_zone
"Gonzagueville";0323267f-7d67-43d9-a45a-ccbb89f38f3c;46;ville_sans_zone
"DUEKOUE";508e8315-e049-4391-b3b8-f3091c2e56c7;42;ville_sans_zone
"ZUENOULA";316acf4e-ecaa-40bc-931e-381d14b2b002;41;ville_sans_zone
"VAVOUA";ebc9baec-9fb8-4bc3-a2ca-ba6718a70698;41;ville_sans_zone
"IRIEFLA";c292232a-c37e-4c9f-8304-a11e7fc15298;38;ville_sans_zone
"DAOUKRO";671020bf-57d1-4545-8031-2c69a3513d2d;38;ville_sans_zone
"Zagné";6bd9a7d7-415a-45a3-8126-99b343e8d06b;35;ville_sans_zone
"Yopougon";42b0caa7-07c8-49e4-a231-1e786c55a1e9;35;ville_sans_zone
"Danané";a2028883-1f4e-40de-8936-97bb198fb762;34;ville_sans_zone
"Kononfla";58251f16-8802-4226-9e95-503becc33980;34;ville_sans_zone
"Ouragahio";9a6b9a5a-812b-4e43-8920-302293cd64ae;31;ville_sans_zone
"Diégonéfla";169c842d-0886-448f-aff9-c3c1b227b43a;29;ville_sans_zone
"M'BATTO";d246955f-cd0f-4748-b4a2-f57584346668;29;ville_sans_zone
"Napié";dcbda5d6-e4b9-4c91-976d-3ba6555d17b1;28;ville_sans_zone
"Guiglo";1665d656-2b22-4d5f-8f3a-bc7edcbc7e5d;26;ville_sans_zone
"BRIZEBOUA";1d673fa5-d904-4133-95ca-41a883314345;24;ville_sans_zone
"TAPEGUHE";540bbde6-f8f4-44b4-9c33-8865733d3ab8;24;ville_sans_zone
"Issia";25e0ac83-9f6a-4dcf-8afd-9b6d95af0084;23;ville_sans_zone
"COCODY BLOCKHAUSS";f3f46ef7-e689-4034-9e93-0f9bee2d079c;22;ville_sans_zone
"Toulepleu";0a06cc43-25bd-485b-a51e-f1b66c7bdb13;22;ville_sans_zone
"Dougroupalégnoa";2c7bdd6e-271f-4af8-84a2-9ad4c7975ca7;22;ville_sans_zone
"Biankouma";b9393261-2ebc-4498-bc1d-864418bd81c1;21;ville_sans_zone
"Guibéroua";42ed0766-21ba-4238-bce4-e5504a0494fc;21;ville_sans_zone
